,category,message
1251,ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite...
1252,ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
1253,ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
1254,ham,Happy birthday... May all ur dreams come true...
1255,ham,Aiyah u did ok already lar. E nydc at wheellock?
1256,ham,TELL HER I SAID EAT SHIT.
1257,ham,Sure! I am driving but will reach my destination soon.
1258,ham,"K so am I, how much for an 8th? Fifty?"
1259,ham,Your daily text from me  a favour this time
1260,ham,Great to hear you are settling well. So what's happenin wit ola?
1261,ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
1262,ham,I tot u reach liao. He said t-shirt.
1263,ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
1264,ham,Your right! I'll make the appointment right now.
1265,ham,Designation is software developer and may be she get chennai:)
1266,spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
1267,spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
1268,ham,I jokin oni lar.. Ü busy then i wun disturb ü.
1269,ham,"Ok, be careful ! Don't text and drive !"
1270,ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
1271,ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
1272,ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
1273,ham,How abt making some of the pics bigger?
1274,ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
1275,ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
1276,ham,Why nothing. Ok anyway give me treat
1277,spam,"Win the newest Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
1278,ham,Correct. So how was work today
1279,ham,"Just sent again. Do you scream and moan in bed, princess?"
1280,ham,"I wake up long ago already... Dunno, what other thing?"
1281,ham,Oh just getting even with u.... u?
1282,ham,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
1283,ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
1284,ham,Yeah jay's sort of a fucking retard
1285,ham,"Sorry, was in the bathroom, sup"
1286,spam,Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
1287,ham,My exam is for february 4. Wish you a great day.
1288,ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
1289,ham,"Aight no rush, I'll ask jay"
1290,ham,Good Morning plz call me sir
1291,ham,It's ok lar. U sleep early too... Nite...
1292,ham,"Oh... Icic... K lor, den meet other day..."
1293,ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
1294,ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
1295,ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
1296,ham,Then she buying today? Ü no need to c meh...
1297,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv"
1298,spam,WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
1299,spam,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
1300,ham,Fine if thatÂs the way u feel. ThatÂs the way its gota b
1301,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+"
1302,ham,Iâm going to try for 2 months ha ha only joking
1303,ham,So Ã¼ pay first lar... Then when is da stock comin...
1304,spam,Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
1305,ham,Yup... Ok i go home look at the timings then i msg Ã¼ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
1306,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
1307,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
1308,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
1309,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589"
1310,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
1311,ham,Does not operate after  &lt;#&gt;  or what
1312,ham,Yeah do! Donât stand to close tho- youâll catch something!
1313,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
1314,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
1315,spam,You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
1316,spam,"URGENT! Your Mobile No. was awarded Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
1317,ham,Ã predict wat time Ã¼'ll finish buying?
1318,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone
1319,ham,Got c... I lazy to type... I forgot Ã¼ in lect... I saw a pouch but like not v nice...
1320,spam,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
1321,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
1322,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
1323,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
1324,ham,"Found it, ENC  &lt;#&gt; , where you at?"
1325,ham,I sent you  &lt;#&gt;  bucks
1326,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
1327,ham,Ã say until like dat i dun buy ericsson oso cannot oredi lar...
1328,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
1329,ham,Yup... How Ã¼ noe leh...
1330,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
1331,ham,I have printed it oh. So  &lt;#&gt;  come upstairs
1332,ham,Iâm parked next to a MINI!!!! When are you coming in today do you think?
1333,spam,"Think ur smart ? Win Â£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
1334,spam,Valentines Day Special! Win over Â£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
1335,ham,I'm going for bath will msg you next  &lt;#&gt;  min..
1336,ham,Pick you up bout 7.30ish? What time are  and that going?
1337,spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xÂ£150pw to eÂ£nd txt stop"
1338,ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
1339,spam,FREE entry into our Â£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
1340,spam,URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
1341,ham,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..
1342,ham,7 at esplanade.. Do Ã¼ mind giving me a lift cos i got no car today..
1343,ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
1344,ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
1345,ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
1346,spam,"Loan for any purpose Â£500 - Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
1347,ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONÂT LIKE ME LIKE THAT SO DONÂT WORRY."
1348,ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
1349,ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
1350,ham,What class of  &lt;#&gt;  reunion?
1351,ham,When can Ã¼ come out?
1352,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
1353,ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri."
1354,spam,"URGENT!: Your Mobile No. was awarded a Â£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
1355,spam,"Today's Offer! Claim ur Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. Â£3.00 Sub. 16 . Unsub reply X"
1356,ham,Wait  &lt;#&gt;  min..
1357,ham,Iâll have a look at the frying pan in case itâs cheap or a book perhaps. No thatâs silly a frying pan isnât likely to be a book
1358,ham,Ã wait 4 me in sch i finish ard 5..
1359,spam,"our mobile number has won Â£5000, to claim calls us back or ring the claims hot line on 09050005321."
1360,ham,Huh so early.. Then Ã¼ having dinner outside izzit?
1361,spam,"For ur chance to win a Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
1362,ham,I come n pick Ã¼ up... Come out immediately aft ur lesson...
1363,ham,Dear we got  &lt;#&gt;  dollars hi hi
1364,spam,Todays Vodafone numbers ending with 4882 are selected to a receive a Â£350 award. If your number matches call 09064019014 to receive your Â£350 award.
1365,ham,Got it. Seventeen pounds for seven hundred ml â hope ok.
1366,ham,When Ã¼ login dat time... Dad fetching Ã¼ home now?
1367,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weâre in bâham. Have a jolly good rest of week
1368,ham,Sorry me going home first... Daddy come fetch Ã¼ later...
1369,ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
1370,spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just Â£1.50 per wk 2 opt out send STOP 08452810071 16
1371,ham,"I've got  &lt;#&gt; , any way I could pick up?"
1372,ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?
1373,ham,Ã log off 4 wat. It's sdryb8i
1374,ham,I wanted to ask Ã¼ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
1375,ham,meet you in corporation st outside gap â¦ you can see how my mind is working!
1376,ham,Mum ask Ã¼ to buy food home...
1377,ham,How much r Ã¼ willing to pay?
1378,spam,You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
1379,spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY Â£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
1380,ham,Just got up. have to be out of the room very soon. â¦. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
1381,spam,U are subscribed to the best Mobile Content Service in the UK for Â£3 per 10 days until you send STOP to 82324. Helpline 08706091795
1382,spam,"Romantic Paris. 2 nights, 2 flights from Â£79 Book now 4 next year. Call 08704439680Ts&Cs apply."
1383,spam,Urgent Ur Â£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 Â£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
1384,spam,UR awarded a City Break and could WIN a Â£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 Â£1.50perWKsub
1385,ham,I wil be there with in  &lt;#&gt;  minutes. Got any space
1386,spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, Â£3 per pole. UnSub 08718727870."
1387,ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATÂS AL!!!!!!!!!
1388,ham,Gimme a few was  &lt;#&gt;  minutes ago
1389,spam,"Last Chance! Claim ur Â£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Sub. 16"
1390,spam,You have won a guaranteed Â£200 award or even Â£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
1391,ham,S:)s.nervous  &lt;#&gt; :)
1392,spam,Congratulations ur awarded either Â£500 of CD gift vouchers & Free entry 2 our Â£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
1393,ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IÂLLSPEAK 2U SOONLOTS OF LOVEME XXXX.
1394,ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
1395,ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenÂt sent u 1 in ages started driving so stay off roads!RVx
1396,ham,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks"
1397,spam,Last chance 2 claim ur Â£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. Â£3.00 Sub. 16 . Remove txt X or STOP
1398,ham,I luv u soo much u donÂt understand how special u r 2 me ring u 2morrow luv u xxx
1399,ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
1400,ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
1401,spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net Â£1.50pm approx 3mins
1402,ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
1403,spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, Â£500 Cash or Â£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
1404,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. Â£1.50 SP:Tyrone
1405,ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
1406,ham,"K, wait chikku..il send aftr  &lt;#&gt; mins"
1407,spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over Â£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
1408,spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or Â£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
1409,spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or Â£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
1410,ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
1411,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
1412,ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
1413,ham,Hey you can pay. With salary de. Only  &lt;#&gt; .
1414,ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes
1415,ham,I'm in office now . I will call you  &lt;#&gt;  min:)
1416,ham,"Yun ah.the ubi one say if Ã¼ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ã¨n"
1417,ham,Up to Ã¼... Ã wan come then come lor... But i din c any stripes skirt...
1418,ham,Then Ã¼ wait 4 me at bus stop aft ur lect lar. If i dun c Ã¼ then i go get my car then come back n pick Ã¼.
1419,ham,&lt;#&gt;  am I think? Should say on syllabus
1420,ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
1421,ham,I dunno they close oredi not... Ã v ma fan...
1422,ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
1423,ham,Mmm thats better now i got a roast down me! iÂd b better if i had a few drinks down me 2! Good indian?
1424,ham,I walked an hour 2 c u! doesnÂt that show I care y wont u believe im serious?
1425,spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN Â£100 Cash WKENT/150P16+
1426,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
1427,spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p pÂ£3.99
1428,ham,Goodmorning today i am late for  &lt;DECIMAL&gt; min.
1429,spam,WIN URGENT! Your mobile number has been awarded with a Â£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm
1430,spam,Dear Subscriber ur draw 4 Â£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
1431,ham,Black shirt n blue jeans... I thk i c Ã¼...
1432,spam,"449050000301 You have won a Â£2,000 price! To claim, call 09050000301."
1433,spam,Ur HMV Quiz cash-balance is currently Â£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
1434,spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(Â£1.50p. m)
1435,ham,Ã dun need to pick ur gf?
1436,ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore"
1437,ham,"Goodmorning, Today i am late for  &lt;#&gt; min."
1438,spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 Â£3/wk 087016248
1439,ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
1440,ham,"Me also da, i feel yesterday night  wait til 2day night dear."
1441,spam,WIN a year supply of CDs 4 a store of ur choice worth Â£500 & enter our Â£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
1442,ham,"that would be good â¦ I'll phone you tomo lunchtime, shall I, to organise something?"
1443,ham,Rofl betta invest in some  anti aging products
1444,ham,So Ã¼'ll be submitting da project tmr rite?
1445,spam,FREE entry into our Â£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
1446,ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
1447,ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
1448,ham,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!"
1449,ham,"Im in inperialmusic listening2the weirdest track ever byÂleafcutter johnÂ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
1450,spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA
1451,ham,Can i meet Ã¼ at 5.. As 4 where depends on where Ã¼ wan 2 in lor..
1452,ham,Eat jap done oso aft ur lect wat... Ã got lect at 12 rite...
1453,ham,Your daily text from me â a favour this time
1454,ham,I jokin oni lar.. Ã busy then i wun disturb Ã¼.
1455,spam,"Win the newest âHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
1456,ham,I thk 50 shd be ok he said plus minus 10.. Did Ã¼ leave a line in between paragraphs?
1457,spam,Ur balance is now Â£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
1458,ham,Then she buying today? Ã no need to c meh...
1459,ham,Aight sorry I take ten years to shower. What's the plan?
1460,ham,Every monday..nxt week vl be completing..
1461,ham,Might ax well im there.
1462,ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
1463,ham,Yeah I'll try to scrounge something up
1464,ham,Crazy ar he's married. Ã like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
1465,ham,Were somewhere on Fredericksburg
1466,ham,Que pases un buen tiempo or something like that
1467,ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
1468,ham,She doesnt need any test.
1469,ham,"Nothing much, chillin at home. Any super bowl plan?"
1470,spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Â£3/wk"
1471,ham,Bugis oso near wat...
1472,ham,Yo theres no class tmrw right?
1473,ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
1474,ham,"Goodnight, sleep well da please take care pa. Please."
1475,ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
1476,ham,U ned to convince him tht its not possible witot hurting his feeling its the main
1477,ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
1478,ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
1479,ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
1480,ham,Yo dude guess who just got arrested the other day
1481,ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
1482,ham,What does the dance river do?
1483,ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
1484,ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
1485,spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
1486,ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
1487,ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough â¦"
1488,ham,Alright. I'm out--have a good night!
1489,ham,Did you try making another butt.
1490,ham,Hope you are feeling great. Pls fill me in. Abiola
1491,ham,I though we shd go out n have some fun so bar in town or something â sound ok?
1492,ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
1493,spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
1494,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
1495,ham,We're finally ready fyi
1496,ham,Auntie huai juan never pick up her phone
1497,spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
1498,ham,"Ya tel, wats ur problem.."
1499,ham,i dnt wnt to tlk wid u
1500,ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!"
1501,ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
1502,ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
1503,ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
1504,ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
1505,ham,All e best 4 ur exam later.
1506,ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
1507,ham,Oh k.i think most of wi and nz players unsold.
1508,ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
1509,ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
1510,ham,"Haha just kidding, papa needs drugs"
1511,ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
1512,ham,Oh ok..
1513,ham,R we still meeting 4 dinner tonight?
1514,ham,Thats cool! I am a gentleman and will treat you with dignity and respect.
1515,ham,Shall i start from hear.
1516,ham,Then we wait 4 u lor... No need 2 feel bad lar...
1517,ham,No did you check? I got his detailed message now
1518,ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
1519,ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
1520,ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
1521,ham,cool. We will have fun practicing making babies!
1522,ham,Actually getting ready to leave the house.
1523,ham,K..k..any special today?
